Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,CompanyCommunicator.Common\Microsoft.Teams.Apps.CompanyCommunicator.Common.csproj,File,CompanyCommunicator.Common\Microsoft.Teams.Apps.CompanyCommunicator.Common.csproj,,,Microsoft.Extensions.Configuration 2.1.1,,,,,"Microsoft.Extensions.Configuration, 2.1.1  Recommendation:  Remove Microsoft.Extensions.Configuration, and replace with new package Microsoft.Extensions.Configuration 8.0.0"
NuGet.0004,NuGet package contains security vulnerability,Active,Optional,1,CompanyCommunicator.Common\Microsoft.Teams.Apps.CompanyCommunicator.Common.csproj,File,CompanyCommunicator.Common\Microsoft.Teams.Apps.CompanyCommunicator.Common.csproj,,,Azure.Storage.Blobs 12.8.0,,,,,"Azure.Storage.Blobs, 12.8.0  Recommendation:  Azure.Storage.Blobs, 12.27.0"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,CompanyCommunicator.Common\Microsoft.Teams.Apps.CompanyCommunicator.Common.csproj,File,CompanyCommunicator.Common\Microsoft.Teams.Apps.CompanyCommunicator.Common.csproj,,,Microsoft.Azure.Cosmos.Table 1.0.1,,,,,"Microsoft.Azure.Cosmos.Table, 1.0.1  Recommendation:  Please note, this package is obsolete as of 3/31/2023 and is no longer maintained or monitored. Microsoft encourages you to upgrade to the replacement package, Azure.Data.Tables, to continue receiving updates. Refer to the migration guide (https://github.com/Azure/azure-sdk-for-net/blob/main/sdk/tables/Azure.Data.Tables/MigrationGuide.md) for guidance on upgrading. Refer to our deprecation policy (https://aka.ms/azsdk/support-policies) for more details. Remove Microsoft.Azure.Cosmos.Table, and replace with new package Microsoft.Azure.Cosmos.Table, 1.0.8"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,CompanyCommunicator.Common\Microsoft.Teams.Apps.CompanyCommunicator.Common.csproj,File,CompanyCommunicator.Common\Microsoft.Teams.Apps.CompanyCommunicator.Common.csproj,,,Microsoft.Azure.ServiceBus 4.1.1,,,,,"Microsoft.Azure.ServiceBus, 4.1.1  Recommendation:  Please note, this package is obsolete and will no longer be maintained after 9/30/2026. Microsoft encourages you to upgrade to the replacement package, Azure.Messaging.ServiceBus, to continue receiving updates. Refer to the migration guide (https://aka.ms/azsdk/net/migrate/sb) for guidance on upgrading. Refer to our deprecation policy (https://aka.ms/azsdk/support-policies) for more details. Remove Microsoft.Azure.ServiceBus, and replace with new package Microsoft.Azure.ServiceBus, 5.2.0"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,CompanyCommunicator.Common\Microsoft.Teams.Apps.CompanyCommunicator.Common.csproj,File,CompanyCommunicator.Common\Microsoft.Teams.Apps.CompanyCommunicator.Common.csproj,,,Microsoft.Identity.Client 4.15.0,,,,,"Microsoft.Identity.Client, 4.15.0  Recommendation:  Move to latest Microsoft.Identity.Client. See https://aka.ms/msal/LTS for details. Remove Microsoft.Identity.Client, and replace with new package Microsoft.Identity.Client, 4.84.0"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,CompanyCommunicator.Common\Microsoft.Teams.Apps.CompanyCommunicator.Common.csproj,File,CompanyCommunicator.Common\Microsoft.Teams.Apps.CompanyCommunicator.Common.csproj,,,,,,,,Current target framework: net6.0 Recommended target framework: net8.0
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CompanyCommunicator.Common\Microsoft.Teams.Apps.CompanyCommunicator.Common.csproj,File,CompanyCommunicator.Common\Services\MicrosoftGraph\Users\UsersService.cs,72,24,T:System.Linq.AsyncEnumerable,,,,,"var userstemp = content[""value""]                              .Children()                              .OfType<JObject>()                              .Select(obj => obj.ToObject<User>());"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CompanyCommunicator.Common\Microsoft.Teams.Apps.CompanyCommunicator.Common.csproj,File,CompanyCommunicator.Common\Services\MicrosoftGraph\Users\UsersServiceByTenant.cs,68,24,T:System.Linq.AsyncEnumerable,,,,,"var userstemp = content[""value""]                              .Children()                              .OfType<JObject>()                              .Select(obj => obj.ToObject<User>());"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,CompanyCommunicator\Microsoft.Teams.Apps.CompanyCommunicator.csproj,File,CompanyCommunicator\Microsoft.Teams.Apps.CompanyCommunicator.csproj,,,Microsoft.AspNetCore.Authentication.JwtBearer 3.1.4,,,,,"Microsoft.AspNetCore.Authentication.JwtBearer, 3.1.4  Recommendation:  Remove Microsoft.AspNetCore.Authentication.JwtBearer, and replace with new package Microsoft.AspNetCore.Authentication.JwtBearer 8.0.26"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,CompanyCommunicator\Microsoft.Teams.Apps.CompanyCommunicator.csproj,File,CompanyCommunicator\Microsoft.Teams.Apps.CompanyCommunicator.csproj,,,Microsoft.AspNetCore.Authentication.OpenIdConnect 3.1.4,,,,,"Microsoft.AspNetCore.Authentication.OpenIdConnect, 3.1.4  Recommendation:  Remove Microsoft.AspNetCore.Authentication.OpenIdConnect, and replace with new package Microsoft.AspNetCore.Authentication.OpenIdConnect 8.0.26"
